epoch,loss,Recall,Precision,F1
239,1.585,0.426,0.894,0.577
240,1.597,0.427,0.892,0.577
241,1.562,0.428,0.893,0.578
242,1.586,0.428,0.894,0.579
243,1.577,0.429,0.894,0.580
244,1.621,0.428,0.895,0.579
245,1.588,0.428,0.896,0.579
246,1.619,0.429,0.897,0.581
247,1.576,0.429,0.895,0.580
248,1.561,0.428,0.894,0.579
249,1.548,0.427,0.893,0.578
250,1.564,0.425,0.890,0.575
251,1.483,0.425,0.892,0.576
252,1.559,0.426,0.890,0.576
253,1.579,0.429,0.892,0.579
254,1.575,0.430,0.893,0.581
255,1.773,0.430,0.889,0.579
256,1.695,0.426,0.892,0.577
257,1.699,0.424,0.891,0.575
258,1.587,0.423,0.890,0.574
259,1.585,0.426,0.890,0.576
260,1.538,0.427,0.889,0.577
261,1.631,0.427,0.890,0.577
262,1.648,0.427,0.891,0.577
263,1.580,0.427,0.891,0.578
264,1.557,0.425,0.891,0.576
265,1.520,0.426,0.891,0.577
266,1.512,0.429,0.892,0.579
267,1.590,0.430,0.893,0.581
268,1.647,0.429,0.894,0.580
269,1.543,0.428,0.895,0.579
270,1.527,0.429,0.896,0.580
271,1.509,0.429,0.895,0.580
272,1.510,0.429,0.895,0.580
273,1.514,0.428,0.894,0.579
274,1.519,0.428,0.895,0.579
275,1.511,0.426,0.896,0.578
276,1.480,0.426,0.895,0.577
277,1.536,0.425,0.895,0.577
278,1.552,0.428,0.895,0.579
279,1.466,0.428,0.895,0.579
280,1.507,0.430,0.895,0.581
281,1.476,0.430,0.893,0.581
282,1.480,0.430,0.892,0.581
283,1.484,0.431,0.894,0.582
284,1.486,0.432,0.894,0.582
285,1.465,0.430,0.895,0.581
286,1.453,0.430,0.892,0.580
287,1.457,0.431,0.893,0.581
288,1.407,0.431,0.892,0.581
289,1.437,0.432,0.894,0.583
290,1.454,0.433,0.893,0.583
291,1.416,0.434,0.893,0.584
292,1.449,0.433,0.894,0.584
293,1.439,0.431,0.893,0.582
294,1.406,0.431,0.895,0.582
295,1.427,0.431,0.894,0.582
296,1.426,0.431,0.895,0.582
297,1.472,0.432,0.896,0.583
298,1.442,0.433,0.895,0.583
299,1.418,0.433,0.895,0.583
300,1.433,0.433,0.896,0.584
301,1.408,0.432,0.896,0.583
302,1.397,0.433,0.895,0.584
303,1.571,0.435,0.894,0.585
304,1.808,0.404,0.869,0.551
305,1.553,0.397,0.866,0.544
306,1.509,0.390,0.862,0.537
307,1.465,0.388,0.862,0.535
308,1.485,0.386,0.857,0.532
309,1.525,0.380,0.857,0.527
310,1.634,0.378,0.850,0.523
311,1.608,0.376,0.852,0.521
312,1.588,0.374,0.849,0.520
313,1.554,0.374,0.849,0.519
314,1.492,0.376,0.851,0.521
315,1.487,0.377,0.852,0.522
316,1.522,0.376,0.852,0.522
317,1.455,0.376,0.854,0.522
318,1.426,0.376,0.853,0.522
319,1.493,0.376,0.852,0.522
320,1.447,0.375,0.854,0.521
321,1.399,0.376,0.852,0.521
322,1.386,0.377,0.850,0.522
323,1.429,0.379,0.854,0.525
324,1.443,0.380,0.858,0.527
325,1.397,0.382,0.859,0.528
326,1.427,0.382,0.860,0.529
327,1.455,0.381,0.865,0.529
328,1.428,0.380,0.863,0.528
329,1.393,0.379,0.864,0.526
330,1.410,0.378,0.866,0.526
331,1.415,0.379,0.868,0.527
332,1.360,0.379,0.870,0.528
333,1.374,0.379,0.869,0.528
334,1.394,0.379,0.870,0.528
335,1.358,0.380,0.872,0.529
336,1.374,0.379,0.870,0.528
337,1.374,0.382,0.872,0.531
338,1.346,0.383,0.875,0.533
339,1.349,0.382,0.875,0.531
340,1.385,0.381,0.876,0.531
341,1.431,0.381,0.872,0.530
342,1.364,0.382,0.875,0.531
343,1.401,0.382,0.876,0.532
344,1.376,0.383,0.877,0.533
345,1.322,0.382,0.881,0.533
346,1.341,0.383,0.882,0.534
347,1.360,0.381,0.884,0.533
348,1.386,0.382,0.881,0.533
349,1.371,0.380,0.881,0.531
350,1.352,0.380,0.883,0.532
351,1.339,0.383,0.885,0.534
352,1.376,0.384,0.887,0.536
353,1.381,0.386,0.890,0.539
354,1.356,0.386,0.891,0.539
355,1.327,0.386,0.892,0.539
356,1.304,0.388,0.894,0.541
357,1.319,0.386,0.892,0.539
358,1.336,0.386,0.892,0.539
359,1.319,0.386,0.893,0.539
360,1.342,0.384,0.894,0.538
361,1.312,0.384,0.895,0.538
362,1.303,0.385,0.895,0.539
363,1.361,0.386,0.895,0.540
364,1.366,0.386,0.896,0.539
365,1.323,0.385,0.894,0.538
366,1.309,0.387,0.894,0.540
367,1.326,0.387,0.894,0.540
368,1.358,0.388,0.897,0.542
369,1.356,0.388,0.895,0.542
370,1.334,0.389,0.895,0.543
371,1.318,0.390,0.896,0.544
372,1.310,0.391,0.896,0.545
373,1.298,0.392,0.894,0.545
374,1.300,0.391,0.892,0.544
375,1.276,0.393,0.894,0.546
376,1.333,0.393,0.892,0.545
377,1.312,0.394,0.897,0.548
378,1.328,0.394,0.897,0.548
379,1.350,0.395,0.896,0.548
380,1.306,0.396,0.898,0.549
381,1.294,0.397,0.900,0.551
382,1.298,0.397,0.900,0.550
383,1.295,0.397,0.900,0.550
384,1.324,0.398,0.902,0.553
385,1.316,0.397,0.900,0.551
386,1.326,0.399,0.900,0.553
387,1.274,0.398,0.899,0.552
388,1.328,0.400,0.900,0.554
389,1.317,0.400,0.899,0.553
390,1.336,0.400,0.900,0.554
391,1.313,0.401,0.900,0.554
392,1.301,0.402,0.901,0.555
393,1.279,0.401,0.898,0.554
394,1.287,0.402,0.899,0.555
395,1.273,0.401,0.899,0.555
396,1.271,0.401,0.900,0.555
397,1.265,0.401,0.898,0.554
398,1.258,0.401,0.898,0.554
399,1.315,0.401,0.897,0.554
400,1.289,0.402,0.898,0.556
401,1.252,0.403,0.897,0.556
402,1.248,0.402,0.895,0.555
403,1.267,0.403,0.896,0.556
404,1.273,0.403,0.895,0.556
405,1.291,0.405,0.895,0.557
406,1.236,0.406,0.894,0.558
407,1.268,0.408,0.894,0.560
408,1.254,0.406,0.892,0.558
409,1.323,0.407,0.891,0.559
410,1.490,0.407,0.893,0.560
411,1.334,0.407,0.892,0.559
412,1.295,0.408,0.893,0.560
413,1.288,0.407,0.894,0.560
414,1.305,0.409,0.894,0.562
415,1.250,0.410,0.895,0.562
416,1.250,0.410,0.893,0.562
417,1.267,0.411,0.891,0.562
418,1.237,0.411,0.891,0.563
419,1.231,0.412,0.891,0.564
420,1.244,0.413,0.893,0.565
421,1.244,0.414,0.892,0.565
422,1.217,0.414,0.892,0.566
423,1.224,0.415,0.891,0.566
424,1.217,0.415,0.891,0.566
425,1.187,0.415,0.891,0.566
426,1.208,0.415,0.891,0.566
427,1.220,0.415,0.890,0.566
428,1.245,0.413,0.890,0.564
429,1.220,0.415,0.891,0.566
430,1.248,0.415,0.891,0.566
431,1.212,0.415,0.891,0.566
432,1.239,0.414,0.891,0.566
433,1.269,0.415,0.891,0.566
434,1.248,0.415,0.890,0.566
435,1.256,0.416,0.891,0.567
436,1.232,0.417,0.891,0.568
437,1.190,0.416,0.892,0.567
438,1.252,0.416,0.892,0.567
439,1.240,0.416,0.892,0.567
440,1.216,0.416,0.892,0.568
441,1.207,0.417,0.893,0.568
442,1.185,0.417,0.892,0.569
443,1.264,0.418,0.894,0.570
444,1.219,0.419,0.894,0.571
445,1.222,0.420,0.894,0.571
446,1.214,0.420,0.894,0.572
447,1.260,0.420,0.894,0.571
448,1.241,0.420,0.894,0.572
449,1.243,0.421,0.894,0.572
450,1.219,0.422,0.894,0.574
451,1.202,0.422,0.893,0.573
452,1.180,0.423,0.893,0.574
453,1.241,0.422,0.893,0.573
454,1.176,0.423,0.894,0.574
455,1.223,0.425,0.894,0.576
456,1.180,0.426,0.894,0.577
457,1.201,0.426,0.894,0.577
458,1.174,0.426,0.892,0.577
459,1.156,0.427,0.894,0.578
460,1.165,0.429,0.894,0.579
461,1.141,0.430,0.893,0.580
462,1.165,0.430,0.893,0.580
463,1.169,0.429,0.894,0.579
464,1.213,0.431,0.896,0.582
465,1.249,0.430,0.895,0.581
466,1.261,0.430,0.895,0.581
467,1.203,0.431,0.896,0.582
468,1.196,0.433,0.896,0.584
469,1.202,0.432,0.896,0.583
470,1.196,0.433,0.895,0.584
471,1.183,0.434,0.895,0.585
472,1.195,0.433,0.895,0.584
473,1.182,0.433,0.895,0.584
474,1.155,0.433,0.894,0.583
475,1.163,0.434,0.894,0.584
476,1.154,0.434,0.892,0.584
477,1.172,0.435,0.892,0.585
478,1.180,0.436,0.894,0.586
479,1.202,0.435,0.893,0.585
480,1.197,0.435,0.892,0.584
481,1.213,0.436,0.894,0.586
482,1.199,0.436,0.893,0.586
483,1.171,0.438,0.894,0.588
484,1.166,0.437,0.894,0.587
485,1.147,0.439,0.894,0.589
486,1.170,0.440,0.894,0.590
487,1.178,0.439,0.893,0.589
488,1.131,0.440,0.894,0.590
489,1.160,0.439,0.894,0.589
490,1.150,0.438,0.895,0.588
491,1.168,0.437,0.894,0.587
492,1.177,0.437,0.893,0.587
493,1.214,0.438,0.893,0.587
494,1.191,0.439,0.893,0.589
495,1.171,0.440,0.892,0.589
496,1.183,0.442,0.893,0.591
497,1.205,0.442,0.891,0.591
498,1.143,0.443,0.891,0.591
499,1.196,0.443,0.893,0.592
500,1.172,0.443,0.892,0.592
501,1.146,0.444,0.893,0.593
502,1.175,0.444,0.893,0.593
503,1.153,0.444,0.893,0.593
